#head_JA,#r_shoulder_JA,#l_shoulder_JA,#r_upleg_JA,#l_upleg_JA,#r_elbow_JA,#l_elbow_JA,#upbody_JA,#waist_JA,#r_body_JA,#l_body_JA,#r_knee_JA,#l_knee_JA
132.49,81.97,76.11,107.33,106.64,56.87,70.38,87.45,94.37,175.88,173.89,179.5,178.92
132.48,81.97,76.11,107.33,106.64,56.87,70.38,87.45,94.37,175.88,173.89,179.5,178.92
132.43,82.02,76.08,106.57,107.12,57.19,72.73,87.09,94.64,176.17,173.97,179.48,179.32
132.43,82.02,76.08,106.57,107.12,57.19,72.73,87.09,94.64,176.17,173.97,179.48,179.32
132.43,82.02,76.08,106.57,107.12,57.19,72.73,87.09,94.65,176.17,174.37,179.48,179.7
132.43,82.02,76.08,106.57,107.12,57.19,72.73,87.09,94.65,176.17,174.37,179.48,179.7
132.43,82.02,76.08,106.57,107.12,57.19,72.73,87.09,94.64,176.17,173.97,179.48,179.32
132.43,82.02,76.08,106.57,107.12,57.19,72.73,87.09,94.64,176.17,173.97,179.48,179.32
132.43,82.02,76.08,106.57,107.12,57.19,72.73,87.09,94.64,176.17,173.97,179.48,179.32
132.43,82.02,76.08,106.57,107.12,57.19,72.73,87.09,94.65,176.17,174.37,179.48,179.7
132.43,82.02,76.08,106.57,107.12,57.19,72.73,87.09,94.65,176.17,174.37,179.48,179.7
132.43,82.02,76.08,106.57,107.12,57.19,72.73,87.09,94.64,176.17,173.97,179.48,179.32
132.43,82.02,76.08,106.57,107.12,57.19,72.73,87.09,94.64,176.17,173.97,179.48,179.32
132.43,82.02,76.08,106.57,107.12,57.19,72.73,87.09,94.64,176.17,173.97,179.48,179.32
