#head_JA,#r_shoulder_JA,#l_shoulder_JA,#r_upleg_JA,#l_upleg_JA,#r_elbow_JA,#l_elbow_JA,#upbody_JA,#waist_JA,#r_body_JA,#l_body_JA,#r_knee_JA,#l_knee_JA
131.55,77.36,73.54,113.49,121.24,66.47,77.83,89.66,90.42,178.5,175.42,174.84,178.82
129.39,77.87,76.13,121.2,138.28,51.55,56.52,88.61,91.37,178.63,175.96,177.99,37.61
124.82,79.54,73.49,121.26,152.39,28.03,27.72,88.99,91.14,178.44,174.28,179.67,176.39
129.12,71.02,70.38,114.65,143.45,36.43,39.15,93.41,90.31,177.96,175.74,178.62,177.24
131.09,74.24,63.79,105.18,128.23,55.26,60.29,88.7,86.18,177.44,175.7,174.3,179.95
147.09,69.36,67.19,101.4,107.88,99.15,103.69,87.96,92.08,175.89,175.07,31.46,35.86
13.35,65.02,54.58,100.61,105.36,109.12,118.17,85.76,91.36,176.01,173.35,177.53,179.86
16.96,60.03,43.17,101.05,105.41,106.82,125.47,83.89,82.25,174.17,175.86,174.9,175.7
18.12,59.02,52.03,97.88,105.82,110.88,126.11,86.24,83.56,174.79,175.16,177.99,173.21
16.76,64.54,53.37,102.59,110.0,111.4,126.67,83.01,80.34,172.66,175.22,33.75,177.46
12.95,63.63,47.46,100.78,106.64,108.49,126.52,85.51,71.14,174.46,175.88,177.27,176.82
13.44,65.02,46.99,105.39,107.2,104.09,120.58,83.64,84.72,173.73,173.8,175.19,178.87
25.43,60.43,51.45,103.82,106.78,105.55,120.03,85.39,91.42,178.09,174.82,179.07,179.07
22.5,58.79,50.53,102.97,108.44,103.6,119.23,85.81,76.27,176.03,177.19,175.91,176.25
20.95,57.38,53.38,100.6,110.0,108.44,124.84,85.24,86.81,173.29,176.63,34.89,176.38
18.41,56.0,53.57,100.57,113.26,109.05,124.94,84.6,78.45,178.5,171.92,176.91,177.52
19.56,56.07,47.65,101.33,110.51,112.1,126.31,84.03,82.51,173.89,174.8,175.83,172.78
19.91,50.75,43.41,99.83,105.94,109.42,123.7,86.97,87.36,175.95,175.99,179.34,174.87
18.73,58.15,57.82,101.29,114.76,103.83,125.81,84.87,81.15,175.11,171.84,177.81,178.26
7.9,65.2,67.23,97.2,109.19,100.07,108.48,90.24,87.94,177.3,173.27,177.48,174.96
138.53,71.54,66.92,103.25,116.13,59.4,67.13,88.05,87.12,177.57,173.2,174.22,179.97
132.25,76.64,66.51,110.26,138.03,45.34,33.55,90.28,84.08,174.87,177.75,171.69,173.91
122.49,73.75,74.41,116.91,152.85,28.49,27.44,93.03,95.68,177.32,176.84,179.57,179.03
122.26,83.28,70.02,124.62,141.36,42.37,43.99,85.95,95.63,179.36,177.39,32.83,38.07
128.06,77.01,76.23,114.31,126.3,63.07,73.16,90.04,90.06,178.51,175.08,177.88,179.45
136.65,75.01,76.26,109.23,123.14,70.12,82.21,92.68,95.08,178.56,174.99,33.73,179.55
136.64,78.01,76.22,112.81,124.17,69.56,85.24,90.01,94.6,179.02,175.0,176.7,178.69
